,Player,Pos,Age,Tm,G,GS,MP,PTS,TS%,FTM,FTA,FT%,FGM,FGA,FG%,3PM,3PA,3P%,2PM,2PA,2P%,OREB,OREB%,DREB,DREB%,TREB,TREB%,AST,AST%,STL,STL%,BLK,BLK%,TOV,TOV%,USG%,OFFWS,DEFWS,WS,WS/48,BPM,VORP,eFG%,PF
624,Jarell Martin\martija01,PF,23,MEM,73,36,1661,565,0.516,89,116,0.767,221,496,0.446,34,98,0.34700000000000003,187,398,0.47,97,6.6,221,15.8,318,11.1,73,7.0,39,1.2,49,2.8,86,13.6,17.1,0.1,1.2,1.3,0.038,-3.0,-0.4,0.48,211
625,Frank Mason\masonfr01,PG,23,SAC,52,2,984,413,0.48,94,115,0.8170000000000001,144,380,0.379,31,86,0.36,113,294,0.384,30,3.3,100,12.1,130,7.5,147,22.7,34,1.7,10,1.0,65,13.1,22.6,0.0,0.6,0.5,0.027000000000000003,-3.4,-0.4,0.42,72
626,Mangok Mathiang\mathima01,C,25,CHO,4,0,20,8,0.5379999999999999,0,1,0.0,4,7,0.5710000000000001,0,0,,4,7,0.5710000000000001,3,16.0,7,38.5,10,27.1,0,0.0,1,2.4,0,0.0,0,0.0,16.1,0.0,0.0,0.1,0.183,-9.8,0.0,0.5710000000000001,5
627,Wesley Matthews\matthwe02,SF,31,DAL,63,62,2131,802,0.541,83,101,0.8220000000000001,283,697,0.406,153,402,0.381,130,295,0.441,28,1.4,170,9.2,198,5.2,172,12.3,76,1.8,16,0.7,83,10.1,17.6,1.0,1.6,2.6,0.059000000000000004,0.1,1.1,0.516,140
628,Luc Mbah a Moute\mbahalu01,PF,31,HOU,61,15,1564,460,0.595,65,95,0.684,166,345,0.48100000000000004,63,173,0.364,103,172,0.599,22,1.6,164,11.7,186,6.7,55,5.0,72,2.3,25,1.4,68,15.1,12.9,0.7,2.1,2.8,0.086,0.0,0.8,0.5720000000000001,100
629,James Michael McAdoo\mcadoja01,PF,25,PHI,3,0,18,8,0.508,2,2,1.0,2,7,0.28600000000000003,2,7,0.28600000000000003,0,0,,0,0.0,2,11.5,2,6.0,0,0.0,0,0.0,1,4.6,1,11.3,21.0,0.0,0.0,0.0,0.023,-8.7,0.0,0.429,1
630,Patrick McCaw\mccawpa01,SG,22,GSW,57,10,961,229,0.47700000000000004,26,34,0.765,92,225,0.409,19,80,0.23800000000000002,73,145,0.503,16,2.0,66,7.2,82,4.8,81,10.6,43,2.2,10,0.8,41,14.6,12.8,-0.3,0.8,0.6,0.028999999999999998,-3.4,-0.3,0.451,67
631,CJ McCollum\mccolcj01,SG,26,POR,81,81,2923,1732,0.536,209,250,0.836,667,1505,0.44299999999999995,189,476,0.397,478,1029,0.465,53,2.0,268,9.9,321,6.0,272,15.8,77,1.3,35,1.0,151,8.6,26.5,3.7,2.9,6.6,0.10800000000000001,0.4,1.8,0.506,168
632,T.J. McConnell\mccontj01,PG,25,PHI,76,1,1706,478,0.545,31,39,0.795,210,421,0.499,27,62,0.435,183,359,0.51,37,2.4,189,11.5,226,7.1,303,24.5,92,2.6,13,0.6,112,20.4,13.8,1.3,2.5,3.8,0.10800000000000001,-0.7,0.5,0.531,122
633,Erik McCree\mccreer01,SF,24,UTA,4,0,8,0,0.0,0,0,,0,2,0.0,0,1,0.0,0,1,0.0,0,0.0,1,14.0,1,7.1,0,0.0,1,6.3,0,0.0,1,33.3,16.9,-0.1,0.0,-0.1,-0.33399999999999996,-14.7,0.0,0.0,0
